date,humidity,temperture
2022/09/24 0:00,99,24.0
2022/09/24 0:10,99,24.0
2022/09/24 0:20,99,24.0
2022/09/24 0:30,99,23.9
2022/09/24 0:40,99,23.9
2022/09/24 0:50,100,24.0
2022/09/24 1:00,99,24.1
2022/09/24 1:10,99,24.0
2022/09/24 1:20,99,24.3
2022/09/24 1:30,98,24.4
2022/09/24 1:40,98,24.4
2022/09/24 1:50,96,24.5
2022/09/24 2:00,96,24.7
2022/09/24 2:10,96,24.6
2022/09/24 2:20,94,24.5
2022/09/24 2:30,91,24.8
2022/09/24 2:40,92,24.8
2022/09/24 2:50,90,25.1
2022/09/24 3:00,91,25.2
2022/09/24 3:10,89,25.2
2022/09/24 3:20,88,25.3
2022/09/24 3:30,89,25.3
2022/09/24 3:40,88,25.4
2022/09/24 3:50,86,25.6
2022/09/24 4:00,87,25.6
2022/09/24 4:10,87,25.6
2022/09/24 4:20,87,25.7
2022/09/24 4:30,86,25.6
2022/09/24 4:40,86,25.6
2022/09/24 4:50,85,25.7
2022/09/24 5:00,85,25.8
2022/09/24 5:10,81,25.9
2022/09/24 5:20,80,25.8
2022/09/24 5:30,81,25.8
2022/09/24 5:40,80,25.9
2022/09/24 5:50,81,26.0
2022/09/24 6:00,82,26.0
2022/09/24 6:10,83,25.9
2022/09/24 6:20,82,25.9
2022/09/24 6:30,83,25.9
2022/09/24 6:40,82,25.9
2022/09/24 6:50,83,26.0
2022/09/24 7:00,83,25.9
2022/09/24 7:10,83,26.0
2022/09/24 7:20,83,26.0
2022/09/24 7:30,83,25.9
2022/09/24 7:40,84,25.9
2022/09/24 7:50,82,26.1
2022/09/24 8:00,79,26.2
2022/09/24 8:10,80,26.2
2022/09/24 8:20,82,26.1
2022/09/24 8:30,78,26.6
2022/09/24 8:40,79,26.9
2022/09/24 8:50,81,26.8
2022/09/24 9:00,79,27.2
2022/09/24 9:10,80,27.5
2022/09/24 9:20,78,27.8
2022/09/24 9:30,75,28.1
2022/09/24 9:40,73,28.1
2022/09/24 9:50,75,28.2
2022/09/24 10:00,72,28.4
2022/09/24 10:10,72,28.4
2022/09/24 10:20,71,28.6
2022/09/24 10:30,70,28.6
2022/09/24 10:40,70,28.8
2022/09/24 10:50,68,29.0
2022/09/24 11:00,69,28.9
2022/09/24 11:10,67,28.9
2022/09/24 11:20,65,29.2
2022/09/24 11:30,63,29.2
2022/09/24 11:40,67,28.9
2022/09/24 11:50,61,29.2
2022/09/24 12:00,66,29.2
2022/09/24 12:10,63,29.4
2022/09/24 12:20,63,29.4
2022/09/24 12:30,64,29.3
2022/09/24 12:40,66,29.1
2022/09/24 12:50,66,28.9
2022/09/24 13:00,66,28.5
2022/09/24 13:10,68,28.6
2022/09/24 13:20,68,28.7
2022/09/24 13:30,67,28.8
2022/09/24 13:40,66,28.8
2022/09/24 13:50,67,28.7
2022/09/24 14:00,66,28.5
2022/09/24 14:10,69,28.5
2022/09/24 14:20,65,28.5
2022/09/24 14:30,66,28.3
2022/09/24 14:40,70,27.8
2022/09/24 14:50,72,27.7
2022/09/24 15:00,72,27.7
2022/09/24 15:10,70,28.3
2022/09/24 15:20,68,27.8
2022/09/24 15:30,73,27.8
2022/09/24 15:40,71,27.7
2022/09/24 15:50,72,27.5
2022/09/24 16:00,75,27.4
2022/09/24 16:10,74,27.6
2022/09/24 16:20,71,27.4
2022/09/24 16:30,72,27.3
2022/09/24 16:40,73,27.0
2022/09/24 16:50,72,26.8
2022/09/24 17:00,73,26.9
2022/09/24 17:10,72,26.7
2022/09/24 17:20,73,26.6
2022/09/24 17:30,73,26.5
2022/09/24 17:40,75,26.5
2022/09/24 17:50,72,26.5
2022/09/24 18:00,73,26.5
2022/09/24 18:10,72,26.5
2022/09/24 18:20,74,26.5
2022/09/24 18:30,74,26.4
2022/09/24 18:40,74,26.4
2022/09/24 18:50,74,26.4
2022/09/24 19:00,74,26.4
2022/09/24 19:10,74,26.5
2022/09/24 19:20,75,26.4
2022/09/24 19:30,75,26.4
2022/09/24 19:40,75,26.5
2022/09/24 19:50,74,26.4
2022/09/24 20:00,73,26.5
2022/09/24 20:10,75,26.4
2022/09/24 20:20,76,26.4
2022/09/24 20:30,76,26.4
2022/09/24 20:40,76,26.5
2022/09/24 20:50,76,26.4
2022/09/24 21:00,77,26.4
2022/09/24 21:10,77,26.4
2022/09/24 21:20,78,26.4
2022/09/24 21:30,78,26.4
2022/09/24 21:40,78,26.3
2022/09/24 21:50,77,26.3
2022/09/24 22:00,77,26.3
2022/09/24 22:10,78,26.3
2022/09/24 22:20,80,26.2
2022/09/24 22:30,79,26.3
2022/09/24 22:40,78,26.3
2022/09/24 22:50,78,26.3
2022/09/24 23:00,79,26.3
2022/09/24 23:10,78,26.2
2022/09/24 23:20,78,26.2
2022/09/24 23:30,79,26.1
2022/09/24 23:40,80,26.1
2022/09/24 23:50,79,25.9
